"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01005228",183,72.42,0.46,0.35,58.93,2.17,1.52,32.98,20.55,0.56,0.45
"E01005229",15073,18.98,0.1,0.12,29.83,0.55,-0.55,12.48,27.18,0.13,0.1
"E01005230",3587,43.29,0.24,0.18,22.15,1.61,1.42,34.39,37.13,0.29,0.59
"E01005231",10278,26.02,0.08,0.05,22.68,1.3,0.74,34.58,44.32,0.18,0.49
"E01005232",2285,49.63,0.31,0.22,35.9,1.55,1.62,27.55,34.43,0.35,0.49
"E01005233",3652,43.02,0.3,0.16,37.37,1.36,0.8,31.7,44.57,0.34,0.48
"E01005234",2470,48.71,0.31,0.2,36.99,1.4,1.33,32.38,47.21,0.3,0.66
"E01005235",1250,56.83,0.37,0.26,48.24,2.08,1.27,25.51,22.85,0.37,0.53
"E01005236",3646,43.03,0.24,0.17,27.23,1.35,1.3,32.11,52.03,0.32,0.62
"E01005237",3570,43.36,0.26,0.19,32.62,1.21,1.4,30.95,39.14,0.21,0.64
"E01005238",5104,38.08,0.23,0.14,38.66,0.98,0.95,30.65,45.51,0.22,0.55
"E01005239",150,73.83,0.48,0.32,45.2,2.33,1.26,51.26,25.53,0.5,0.69
"E01005240",1388,55.66,0.4,0.23,38.97,1.56,1.2,32.01,35.61,0.52,0.48
"E01005241",8816,28.72,0.2,0.13,21.29,0.89,0.18,20.42,44.75,0.29,0.33
"E01005242",1754,52.83,0.39,0.21,32.89,1.88,0.82,32.85,35.47,0.49,0.58
"E01005243",1236,56.95,0.44,0.27,27.96,1.88,0.69,32.74,24.73,0.46,0.72
"E01005244",6365,34.43,0.2,0.11,28.8,1.21,0.75,35.33,41.32,0.4,0.45
"E01005245",434,66.82,0.49,0.28,39.17,1.83,1.06,46.65,34.99,0.57,0.63
"E01005246",411,67.23,0.52,0.31,46.66,1.47,0.57,47.8,35.01,0.62,0.63
"E01005247",12228,22.76,0.13,0.13,24.17,0.91,-0.17,11.84,32.51,0.19,0.14
"E01005248",13570,20.86,0.13,0.13,16.47,0.63,0.11,17.99,22.75,0.24,0.12
